Date,interest_rates,Year
01/01/2015,0.7099428,2015
01/02/2015,0.53838038,2015
01/03/2015,0.75170542,2015
01/04/2015,0.41032252,2015
01/05/2015,0.53392144,2015
01/06/2015,0.5537778,2015
01/07/2015,0.6670749,2015
01/08/2015,0.54830556,2015
01/09/2015,0.51245991,2015
01/10/2015,0.52877171,2015
01/11/2015,0.6662057,2015
01/12/2015,0.64742223,2015
01/01/2016,0.73450597,2016
01/02/2016,0.538738,2016
01/03/2016,0.55140742,2016
01/04/2016,0.34527268,2016
01/05/2016,0.41364983,2016
01/06/2016,0.51909852,2016
01/07/2016,0.16534694,2016
01/08/2016,0.22683746,2016
01/09/2016,0.2160743,2016
01/10/2016,0.28979681,2016
01/11/2016,0.34660933,2016
01/12/2016,0.70045658,2016
01/01/2017,0.72565107,2017
01/02/2017,0.77438158,2017
01/03/2017,0.91650302,2017
01/04/2017,0.76575378,2017
01/05/2017,0.7764088,2017
01/06/2017,0.73611135,2017
01/07/2017,0.72501612,2017
01/08/2017,0.67086016,2017
01/09/2017,0.56521264,2017
01/10/2017,0.72914351,2017
01/11/2017,0.75219045,2017
01/12/2017,0.57304923,2017
01/01/2018,0.87378801,2018
01/02/2018,1.08846929,2018
01/03/2018,1.02953583,2018
01/04/2018,1.01435433,2018
01/05/2018,1.2160918,2018
01/06/2018,1.24572814,2018
01/07/2018,1.15523371,2018
01/08/2018,1.25524162,2018
01/09/2018,1.1321469,2018
01/10/2018,1.30012681,2018
01/11/2018,1.30865835,2018
01/12/2018,1.25496666,2018
01/01/2019,1.04043434,2019
01/02/2019,1.06818285,2019
01/03/2019,0.51720765,2019
01/04/2019,0.42030375,2019
01/05/2019,0.5404288,2019
01/06/2019,0.42130162,2019
01/07/2019,0.44057188,2019
01/08/2019,0.42005179,2019
01/09/2019,0.23500552,2019
01/10/2019,0.36832453,2019
01/11/2019,0.43361185,2019
01/12/2019,0.51426493,2019
01/01/2020,0.50509631,2020
01/02/2020,0.31598579,2020
01/03/2020,-0.12783745,2020
01/04/2020,-0.11159442,2020
01/05/2020,-0.02785652,2020
01/06/2020,-0.15369936,2020
01/07/2020,-0.3453445,2020
01/08/2020,-0.407134,2020
01/09/2020,-0.34333693,2020
01/10/2020,-0.29173845,2020
01/11/2020,-0.21395564,2020
01/12/2020,-0.23232146,2020
01/01/2021,-0.23501721,2021
01/02/2021,-0.2308238,2021
01/03/2021,0.01250687,2021
01/04/2021,0.11804694,2021
01/05/2021,0.03694758,2021
01/06/2021,-0.00566485,2021
01/07/2021,0.03504108,2021
01/08/2021,-0.26101879,2021
01/09/2021,-0.19473087,2021
01/10/2021,0.08790114,2021
01/11/2021,0.16399788,2021
01/12/2021,0.09168917,2021
01/01/2022,0.3194951,2022
01/02/2022,0.44159289,2022
01/03/2022,0.34708992,2022
01/04/2022,0.94940027,2022
01/05/2022,1.20389776,2022
01/06/2022,1.02509351,2022
01/07/2022,1.06217493,2022
01/08/2022,0.8556253,2022
01/09/2022,1.20424868,2022
01/10/2022,1.79733203,2022
01/11/2022,1.93071305,2022
01/12/2022,1.57612515,2022
01/01/2023,1.78309897,2023
01/02/2023,1.42020217,2023
01/03/2023,2.05963636,2023
01/04/2023,1.44391386,2023
01/05/2023,1.53690406,2023
01/06/2023,1.06063107,2023
01/07/2023,1.4260473,2023
01/08/2023,1.60209539,2023
01/09/2023,1.69970754,2023
01/10/2023,2.08246076,2023
01/11/2023,2.09432864,2023
01/12/2023,1.68089907,2023
01/01/2024,1.68087145,2024
01/02/2024,1.6168231,2024
01/03/2024,1.92596928,2024
01/04/2024,1.93819396,2024
01/05/2024,2.10339878,2024
01/06/2024,1.99956671,2024
01/07/2024,2.04839593,2024
01/08/2024,1.66418984,2024
01/09/2024,1.58158069,2024
01/10/2024,1.48014834,2024
01/11/2024,1.95841688,2024
01/12/2024,1.82436879,2024
01/01/2025,2.05553249,2025
01/02/2025,2.02768935,2025
01/03/2025,1.85917469,2025
01/04/2025,1.67048701,2025
01/05/2025,1.66614308,2025
01/06/2025,1.86923994,2025
01/07/2025,1.65988735,2025
01/08/2025,1.56632926,2025
01/09/2025,1.55037217,2025
01/10/2025,1.56910687,2025
