Date,UNRATE,Year
01/08/2015,5.1,2015
01/09/2015,5,2015
01/10/2015,5,2015
01/11/2015,5.1,2015
01/12/2015,5,2015
01/01/2016,4.8,2016
01/02/2016,4.9,2016
01/03/2016,5,2016
01/04/2016,5.1,2016
01/05/2016,4.8,2016
01/06/2016,4.9,2016
01/07/2016,4.8,2016
01/08/2016,4.9,2016
01/09/2016,5,2016
01/10/2016,4.9,2016
01/11/2016,4.7,2016
01/12/2016,4.7,2016
01/01/2017,4.7,2017
01/02/2017,4.6,2017
01/03/2017,4.4,2017
01/04/2017,4.4,2017
01/05/2017,4.4,2017
01/06/2017,4.3,2017
01/07/2017,4.3,2017
01/08/2017,4.4,2017
01/09/2017,4.3,2017
01/10/2017,4.2,2017
01/11/2017,4.2,2017
01/12/2017,4.1,2017
01/01/2018,4,2018
01/02/2018,4.1,2018
01/03/2018,4,2018
01/04/2018,4,2018
01/05/2018,3.8,2018
01/06/2018,4,2018
01/07/2018,3.8,2018
01/08/2018,3.8,2018
01/09/2018,3.7,2018
01/10/2018,3.8,2018
01/11/2018,3.8,2018
01/12/2018,3.9,2018
01/01/2019,4,2019
01/02/2019,3.8,2019
01/03/2019,3.8,2019
01/04/2019,3.7,2019
01/05/2019,3.6,2019
01/06/2019,3.6,2019
01/07/2019,3.7,2019
01/08/2019,3.6,2019
01/09/2019,3.5,2019
01/10/2019,3.6,2019
01/11/2019,3.6,2019
01/12/2019,3.6,2019
01/01/2020,3.6,2020
01/02/2020,3.5,2020
01/03/2020,4.4,2020
01/04/2020,14.8,2020
01/05/2020,13.2,2020
01/06/2020,11,2020
01/07/2020,10.2,2020
01/08/2020,8.4,2020
01/09/2020,7.8,2020
01/10/2020,6.9,2020
01/11/2020,6.7,2020
01/12/2020,6.7,2020
01/01/2021,6.4,2021
01/02/2021,6.2,2021
01/03/2021,6.1,2021
01/04/2021,6.1,2021
01/05/2021,5.8,2021
01/06/2021,5.9,2021
01/07/2021,5.4,2021
01/08/2021,5.1,2021
01/09/2021,4.7,2021
01/10/2021,4.5,2021
01/11/2021,4.2,2021
01/12/2021,3.9,2021
01/01/2022,4,2022
01/02/2022,3.8,2022
01/03/2022,3.7,2022
01/04/2022,3.7,2022
01/05/2022,3.6,2022
01/06/2022,3.6,2022
01/07/2022,3.5,2022
01/08/2022,3.6,2022
01/09/2022,3.5,2022
01/10/2022,3.6,2022
01/11/2022,3.6,2022
01/12/2022,3.5,2022
01/01/2023,3.5,2023
01/02/2023,3.6,2023
01/03/2023,3.5,2023
01/04/2023,3.4,2023
01/05/2023,3.6,2023
01/06/2023,3.6,2023
01/07/2023,3.5,2023
01/08/2023,3.7,2023
01/09/2023,3.8,2023
01/10/2023,3.9,2023
01/11/2023,3.7,2023
01/12/2023,3.8,2023
01/01/2024,3.7,2024
01/02/2024,3.9,2024
01/03/2024,3.9,2024
01/04/2024,3.9,2024
01/05/2024,4,2024
01/06/2024,4.1,2024
01/07/2024,4.2,2024
01/08/2024,4.2,2024
01/09/2024,4.1,2024
01/10/2024,4.1,2024
01/11/2024,4.2,2024
01/12/2024,4.1,2024
01/01/2025,4,2025
01/02/2025,4.1,2025
01/03/2025,4.2,2025
01/04/2025,4.2,2025
01/05/2025,4.2,2025
01/06/2025,4.1,2025
01/07/2025,4.2,2025
01/08/2025,4.3,2025
